,ID_VRSTE,ID_LOKACIJE,KONCENTRACIJA,TENDENCIJA,dan,mesec,godina,vrstaBiljke,alergenost,nadmorskaVisina,nadmorskaSirina
258,20,9,1,1,22,5,2011,0,1,21.3036111,45.1166667
259,21,9,1,3,22,5,2011,1,1,21.3036111,45.1166667
260,22,9,0,0,22,5,2011,0,0,21.3036111,45.1166667
261,23,9,0,0,22,5,2011,0,0,21.3036111,45.1166667
262,24,9,0,0,22,5,2011,0,0,21.3036111,45.1166667
263,25,9,1,3,22,5,2011,1,2,21.3036111,45.1166667
264,1,1,0,0,23,5,2011,0,0,20.4680556,44.818611100000005
265,2,1,0,0,23,5,2011,0,2,20.4680556,44.818611100000005
266,3,1,0,0,23,5,2011,1,2,20.4680556,44.818611100000005
267,4,1,0,0,23,5,2011,1,1,20.4680556,44.818611100000005
268,5,1,0,1,23,5,2011,0,2,20.4680556,44.818611100000005
269,6,1,1,3,23,5,2011,1,0,20.4680556,44.818611100000005
270,7,1,0,0,23,5,2011,0,0,20.4680556,44.818611100000005
271,8,1,1,3,23,5,2011,1,1,20.4680556,44.818611100000005
272,9,1,0,0,23,5,2011,0,1,20.4680556,44.818611100000005
273,10,1,0,1,23,5,2011,0,1,20.4680556,44.818611100000005
274,11,1,0,1,23,5,2011,0,0,20.4680556,44.818611100000005
275,12,1,0,0,23,5,2011,0,1,20.4680556,44.818611100000005
276,13,1,0,1,23,5,2011,0,1,20.4680556,44.818611100000005
277,14,1,1,1,23,5,2011,0,0,20.4680556,44.818611100000005
278,15,1,1,2,23,5,2011,0,0,20.4680556,44.818611100000005
279,16,1,1,3,23,5,2011,1,1,20.4680556,44.818611100000005
280,17,1,0,1,23,5,2011,0,1,20.4680556,44.818611100000005
281,18,1,2,3,23,5,2011,2,2,20.4680556,44.818611100000005
282,19,1,0,0,23,5,2011,0,1,20.4680556,44.818611100000005
283,20,1,0,1,23,5,2011,0,1,20.4680556,44.818611100000005
284,21,1,0,3,23,5,2011,1,1,20.4680556,44.818611100000005
285,22,1,0,0,23,5,2011,0,0,20.4680556,44.818611100000005
286,23,1,0,0,23,5,2011,0,0,20.4680556,44.818611100000005
287,24,1,0,0,23,5,2011,0,0,20.4680556,44.818611100000005
288,25,1,2,3,23,5,2011,1,2,20.4680556,44.818611100000005
289,1,2,0,0,29,5,2011,0,0,20.466666699999998,44.8
